primer_id	fn	rn
6247898	2013-1-29-07	2013-1-29-22
6238699	2013-1-29-08	2013-1-29-23
6211828	2013-1-29-09	2013-1-29-24
6204360	2013-1-29-10	2013-1-29-25
6221721	2013-1-29-11	2013-1-29-26
6207059	2013-1-29-12	2013-1-29-27
6223973	2013-1-29-13	2013-1-29-28
6242102	2013-1-29-14	2013-1-29-29
6218705	2013-1-29-15	2013-1-29-30
6053899	20130311-41	20130311-42
109334	20130311-43	20130311-44
88472	20130311-45	20130311-46
6243719	20130311-47	20130311-48
6101057	20130311-49	20130311-50
6074687	20130311-51	20130311-52
6229890	20130311-53	20130311-54
6204360	20130311-55	20130311-56
77004	20130311-57	20130311-58
6009324	20130311-59	20130311-60
6242934	20130311-61	20130311-62
6223778	20130311-63	20130311-64
6061300	20130311-65	20130311-66
6045529	20130311-67	20130311-68
6087991	20130311-69	20130311-70
45031	20130311-71	20130311-72
6211102	20130311-73	20130311-74
6033611	20130311-75	20130311-76
6232184	20130311-77	20130311-78
8376	20130311-79	20130311-80
6069231	20130311-81	20130311-82
6059631	20130311-83	20130311-84
6088262	20130311-85	20130311-86
6028875	20130311-87	20130311-88
63835	20130311-89	20130311-90
6059190	20130311-91	20130311-92
6214916	20130311-93	20130311-94
6203940	20130311-95	20130311-96
6233274	20130311-97	20130311-98
23983	20130311-99	20130311-100
85426	20130311-101	20130311-102
96698	20130311-103	20130311-104
6077257	20130311-105	20130311-106
6008367	20130311-107	20130311-108
6080076	20130311-109	20130311-110
6208178	20130311-111	20130311-112
57509	20130311-113	20130311-114
6204379	20130311-115	20130311-116
6092604	20130311-117	20130311-118
6208338	20130311-119	20130311-120
6236711	20130311-121	20130311-122
2013030701	20130311-123	20130311-124
6053996	20130311-125	20130311-126
6003792	20130311-127	20130311-128
47661	20130311-129	20130311-130
6229742	20130311-131	20130311-132
6052882	20130311-133	20130311-134
6222723	20130311-135	20130311-136
6202814	20130311-137	20130311-138
6236389	20130311-139	20130311-140
6204497	20130311-141	20130311-142
6085777	20130311-143	20130311-144
120474	20130311-145	20130311-146
6213895	20130311-147	20130311-148
6207285	20130311-149	20130311-150
6245855	20130311-151	20130311-152
6220722	20130311-153	20130311-154
6228840	20130311-155	20130311-156
65334	20130311-157	20130311-158
6230293	2013-3-26-1	2013-3-26-2
53554	2013-3-26-3	2013-3-26-4
6246923	2013-3-26-5	2013-3-26-6
6205000	2013-3-26-7	2013-3-26-8
6203364	2013-3-26-9	2013-3-26-10
6231620	2013-3-26-11	2013-3-26-12
6216422	2013-3-26-13	2013-3-26-14
6237555	2013-3-26-15	2013-3-26-16
6017373	2013-3-26-17	2013-3-26-18
6215866	2013-3-26-19	2013-3-26-20
6248198	2013-3-26-21	2013-3-26-22
6067176	2013-3-26-23	2013-3-26-24
6222121	2013-3-26-25	2013-3-26-26
204223	2013-3-26-27	2013-3-26-28
60993	2013-3-26-29	2013-3-26-30
6242713	2013-3-26-31	2013-3-26-32
103638	2013-3-26-33	2013-3-26-34
6088085	2013-3-26-35	2013-3-26-36
6011353	2013-3-26-37	2013-3-26-38
6245046	2013-3-26-39	2013-3-26-40
6032145	2013-3-26-41	2013-3-26-42
6039508	2013-3-26-43	2013-3-26-44
6098259	2013-3-26-45	2013-3-26-46
6228425	2013-3-26-47	2013-3-26-48
6213619	2013-3-26-49	2013-3-26-50
75047	2013-3-26-51	2013-3-26-52
6039066	2013-3-26-53	2013-3-26-54
6222174	2013-3-26-55	2013-3-26-56
206409	2013-3-26-57	2013-3-26-58
96998	2013-3-26-59	2013-3-26-60
47591	2013-3-26-61	2013-3-26-62
2013032502	2013-3-26-63	2013-3-26-64
6029958	2013-3-26-65	2013-3-26-66
6250201	2013-3-26-67	2013-3-26-68
6204709	2013-3-26-69	2013-3-26-70
93666	2013-3-26-71	2013-3-26-72
6218229	2013-3-26-73	2013-3-26-74
2013032503	2013-3-26-75	2013-3-26-76
121452	2013-3-26-77	2013-3-26-78
6071397	2013-3-26-79	2013-3-26-80
6237577	2013-3-26-81	2013-3-26-82
94107	2013-3-26-83	2013-3-26-84
6092027	2013-3-26-85	2013-3-26-86
2013032504	2013-3-26-87	2013-3-26-88
6229645	2013-3-26-89	2013-3-26-90
6054174	2013-3-26-91	2013-3-26-92
6222774	2013-3-26-93	2013-3-26-94
6246903	2013-3-26-95	2013-3-26-96
6218105	2013-3-26-97	2013-3-26-98
6252652	2013-3-26-99	2013-3-26-100
39518	2013-3-26-101	2013-3-26-102
6232738	2013-3-26-103	2013-3-26-104
111424	2013-3-26-105	2013-3-26-106
6049713	2013-3-26-107	2013-3-26-108
6210615	2013-3-26-109	2013-3-26-110
6068540	2013-3-26-111	2013-3-26-112
6220651	2013-3-26-113	2013-3-26-114
6227929	2013-3-26-115	2013-3-26-116
6244428	2013-3-26-117	2013-3-26-118
6250864	2013-3-26-119	2013-3-26-120
2013032505	2013-3-26-121	2013-3-26-122
6216323	2013-6-24-1	2013-6-24-2
2013061801	2013-6-24-3	2013-6-24-4
2013061802	2013-6-24-5	2013-6-24-6
6068955	2013-6-24-7	2013-6-24-8
6046827	2013-6-24-9	2013-6-24-10
6097173	2013-6-24-11	2013-6-24-12
129931	2013-6-24-13	2013-6-24-14
6204421	2013-6-24-15	2013-6-24-16
6000985	2013-6-24-17	2013-6-24-18
63110	2013-6-24-19	2013-6-24-20
2013061803	2013-6-24-21	2013-6-24-22
2013063002	20130710-01	20130710-02
6243702	20130710-03	20130710-04
2013063003	20130710-05	20130710-06
6250300	20130710-07	20130710-08
6072296	20130710-09	20130710-10
6228467	20130710-11	20130710-12
6217118	20130710-13	20130710-14
6049020	20130710-15	20130710-16
61775	20130710-17	20130710-18
6029683	20130710-19	20130710-20
6239785	20130710-21	20130710-22
6040569	20130710-23	20130710-24
128679	20130710-25	20130710-26
6073327	20130710-27	20130710-28
34726	20130710-29	20130710-30
2013063004	20130710-31	20130710-32
20390	20130710-33	20130710-34
90984	20130710-35	20130710-36
6007106	20130710-37	20130710-38
6055063	20130710-39	20130710-40
6033942	20130710-41	20130710-42
6248908	20130710-43	20130710-44
60483	20130710-45	20130710-46
18363	20130710-47	20130710-48
30631	20130710-49	20130710-50
54962	20130710-51	20130710-52
12190	20130710-53	20130710-54
2013063005	20130710-55	20130710-56
6013796	20130710-57	20130710-58
6026441	20130710-59	20130710-60
6091685	20130710-61	20130710-62
6035226	20130710-63	20130710-64
102495	20130710-65	20130710-66
6235781	20130710-67	20130710-68
6215789	20130710-69	20130710-70
2013063006	20130710-71	20130710-72
6227102	20130710-73	20130710-74
6253686	20130710-75	20130710-76
6242398	20130710-77	20130710-78
98859	20130710-79	20130710-80
6219526	20130710-81	20130710-82
2013063007	20130710-83	20130710-84
6215810	20130710-85	20130710-86
69243	20130710-87	20130710-88
6059350	20130710-89	20130710-90
2013063008	20130710-91	20130710-92
6055986	20130710-93	20130710-94
21219	20130710-95	20130710-96
6233234	20130710-97	20130710-98
2013063009	20130710-99	20130710-100
2013063010	20130710-101	20130710-102
6004025	2013072301	2013072302
6087662	2013072303	2013072304
6062345	2013072305	2013072306
6220054	2013072307	2013072308
6238297	2013072309	2013072310
69621	2013072311	2013072312
6005240	2013072313	2013072314
6228639	2013072315	2013072316
6253550	2013072317	2013072318
64023	2013072319	2013072320
6019236	2013072321	2013072322
6097763	2013072323	2013072324
6216834	2013072325	2013072326
114403	2013072327	2013072328
6077067	2013072329	2013072330
6035320	2013072331	2013072332
6054503	2013072333	2013072334
6000596	2013072335	2013072336
6205116	2013072337	2013072338
6204542	2013072339	2013072340
6069368	2013072341	2013072342
6221263	2013072343	2013072344
6056390	2013072345	2013072346
6222083	2013072347	2013072348
6225225	2013072349	2013072350
6210793	2013072351	2013072352
6230799	20130802-1	20130802-2
6247001	20130802-3	20130802-4
6257207	20130802-5	20130802-6
6201343	20130802-7	20130802-8
6239542	20130802-9	20130802-10
40855	20130802-11	20130802-12
52142	20130802-13	20130802-14
6258074	20130802-15	20130802-16
6079109	20130802-17	20130802-18
6096137	20130802-19	20130802-20
6212430	20130802-21	20130802-22
6081055	20130802-23	20130802-24
6204103	20130802-25	20130802-26
6021169	20130802-27	20130802-28
6201576	20130802-29	20130802-30
6028936	20130802-31	20130802-32
6006278	20130802-33	20130802-34
16264	20130802-35	20130802-36
69293	20130802-37	20130802-38
6203865	20130802-39	20130802-40
15521	20130802-41	20130802-42
6007358	20130802-43	20130802-44
6009208	20130802-45	20130802-46
6219618	20130802-47	20130802-48
6241299	20130802-49	20130802-50
6087585	20130802-51	20130802-52
6034028	20130802-53	20130802-54
6005445	20130802-55	20130802-56
6025425	20130802-57	20130802-58
6088812	20130802-59	20130802-60
6250780	20130802-61	20130802-62
6200079	20130802-63	20130802-64
32009	20130802-65	20130802-66
6043258	20130802-67	20130802-68
